tickers,eps,revenue,price,people
Apple,,105.55,113.42,Tim Cook
Microsoft,1.59,-42.45,410.99,Satya Nadella
Google,3.94,118.78,83.55,Sundar Pichai
Amazon,,69.97,494.1,Andy Jassy
Facebook,1.3,85.42,397.51,Mark Zuckerberg
Tesla,1.3,-69.91,139.42,Elon Musk
Netflix,6.74,192.61,52.48,Reed Hastings
Intel,n.a.,99.33,416.96,Pat Gelsinger
IBM,0.59,47.11,368.09,n.a.
Samsung,3.63,141.13,378.05,Jong-Hee Han
Oracle,0.61,38.96,397.07,Safra Catz
Cisco,0.6,110.44,83.32,Chuck Robbins
HP,2.73,2.02,211.31,Enrique Lores
Adobe,-3.74,33.59,102.14,Shantanu Narayen
Nvidia,-3.17,109.84,438.4,Jensen Huang
Qualcomm,0.31,136.92,330.48,Cristiano Amon
Salesforce,-1.04,108.57,198.9,Marc Benioff
Spotify,2.94,94.22,78.6,Daniel Ek
Uber,-0.72,84.94,189.94,Dara Khosrowshahi
Lyft,-2.24,26.07,196.33,David Risher
Snap,6.4,,378.32,Evan Spiegel
Dropbox,1.32,76.97,336.9,Drew Houston
Zoom,2.2,152.86,449.25,Eric Yuan
Twitter,-2.27,117.18,262.5,Linda Yaccarino
PayPal,n.a.,11.85,103.82,Alex Chriss
