date,temperature_celsius,humidity_percent,wind_speed_kmph,weather_condition
2023-01-01,-2.9,87.4,11.9,Snow
2023-01-02,15.9,56.8,5.4,Snow
2023-01-03,22.8,48.7,11.3,
2023-01-04,39.4,56.4,12.2,Rain
2023-01-05,7.8,82.9,7.1,Rain
2023-01-06,-1.5,12.9,Rain
2023-01-07,20.4,67.0,7.0,Fog
2023-01-08,36.8,83.6,5.7,Cloudy
2023-01-09,7.5,79.0,9.4,Sunny
2023-01-10,65.2,6.5,Sunny
2023-01-11,31.5,56.6,9.2,Cloudy
2023-01-12,16.6,46.6,9.2,Sunny
2023-01-13,21.6,40.6,10.1,Rain
2023-01-14,16.4,42.9,13.5,Rain
2023-01-15,,74.3,8.9,Snow
2023-01-16,25.8,72.3,7.2,Fog
2023-01-17,13.7,29.1,7.1,Sunny
2023-01-18,32.8,70.1,9.9,Fog
2023-01-19,5.8,73.5,12.8,Rain
2023-01-20,17.0,52.1,15.7,Rain
2023-01-21,18.9,5.5,
2023-01-22,5.3,32.9,,Rain
2023-01-23,-8.8,49.9,9.5,Rain
2023-01-24,-9.3,66.1,11.3,Fog
2023-01-25,24.2,49.8,9.7,Snow
2023-01-26,17.0,50.1,10.8,Rain
2023-01-27,8.1,70.4,10.1,Sunny
2023-01-28,10.6,91.1,13.7,Rain
2023-01-29,23.0,58.0,11.6,Rain
2023-01-30,3.2,74.0,9.9,Cloudy
2023-01-31,58.3,Fog
2023-02-01,17.2,74.1,1.1,Cloudy
2023-02-02,5.2,64.0,,Fog
2023-02-03,40.0,61.8,7.2,Sunny
2023-02-04,-2.6,55.1,1.7,
2023-02-05,-5.3,61.5,13.3,Fog
2023-02-06,,64.4,8.7,Sunny
2023-02-07,0.4,49.5,8.6,Fog
2023-02-08,20.3,38.0,4.9,Sunny
2023-02-09,7.6,65.3,11.4,Sunny
2023-02-10,8.6,50.1,12.5,Fog
2023-02-11,21.8,40.0,10.3,Fog
2023-02-12,14.7,77.5,12.0,Snow
2023-02-13,23.4,50.5,9.9,Fog
2023-02-14,23.1,66.3,11.9,Sunny
2023-02-15,21.3,48.3,5.5,Snow
2023-02-16,18.0,58.0,7.2,Fog
2023-02-17,12.4,63.1,6.7,Rain
2023-02-18,-2.7,71.6,6.9,Sunny
2023-02-19,9.1,75.9,13.2,Sunny
2023-02-20,19.4,,13.2,Rain
2023-02-21,10.8,74.7,11.6,Sunny
2023-02-22,27.6,39.7,14.1,Cloudy
2023-02-23,5.1,34.2,6.2,Cloudy
2023-02-24,15.4,16.7,11.1,
2023-02-25,14.1,71.0,6.4,Fog
2023-02-26,3.2,75.6,10.5,Rain
2023-02-27,20.2,61.7,7.9,Cloudy
2023-02-28,20.3,66.5,7.6,Fog
2023-03-01,16.9,62.2,13.1,Fog
2023-03-02,20.3,44.3,10.1,Rain
2023-03-03,32.4,34.6,9.0,Cloudy
2023-03-04,20.5,70.9,9.8,
2023-03-05,14.7,75.8,10.9,Snow
2023-03-06,21.3,84.8,10.7,Sunny
2023-03-07,-12.4,64.4,7.6,Rain
2023-03-08,15.6,,16.3,Rain
2023-03-09,-7.5,89.1,6.1,Rain
2023-03-10,16.9,64.3,6.5,Rain
2023-03-11,14.2,77.7,14.8,Snow
2023-03-12,23.2,42.9,8.8,Rain
2023-03-13,12.7,59.3,,
2023-03-14,16.6,59.1,10.0,Rain
2023-03-15,,46.6,15.6,Snow
2023-03-16,27.6,,14.3,Cloudy
2023-03-17,4.4,76.6,8.1,Snow
2023-03-18,10.8,57.5,15.4,Fog
2023-03-19,31.6,55.0,10.1,Rain
2023-03-20,18.6,72.5,7.7,Cloudy
2023-03-21,17.1,50.6,11.8,Fog
2023-03-22,15.1,84.5,9.9,Snow
2023-03-23,,,9.5,Fog
2023-03-24,,63.3,5.7,Cloudy
2023-03-25,12.6,69.4,9.5,Rain
2023-03-26,18.8,43.3,,Fog
2023-03-27,26.9,49.3,11.1,Snow
2023-03-28,35.5,,5.9,Sunny
2023-03-29,19.9,71.7,11.2,
2023-03-30,17.2,51.6,9.7,Snow
2023-03-31,11.7,82.4,10.6,Fog
2023-04-01,18.3,41.0,9.6,Rain
2023-04-02,17.3,67.3,14.6,Rain
2023-04-03,31.3,49.0,6.8,Rain
2023-04-04,25.6,53.9,5.7,Snow
2023-04-05,6.7,68.7,12.4,Cloudy
2023-04-06,33.0,36.3,4.1,Fog
2023-04-07,-4.4,58.1,8.0,Fog
2023-04-08,11.8,41.2,13.0,Sunny
2023-04-09,14.7,44.4,,Sunny
2023-04-10,0.3,48.3,7.7,Rain
