id,customer_id,name,amount,order_date
1,1,Axe,"$9,978.12",2025-09-01 12:01:26.625465
2,2,Sledge Hammer,"$1,000.12",2025-09-01 12:01:26.625465
3,3,Showel,"$2,470.12",2025-09-01 12:01:26.625465
4,4,Cross blade Axe,"$7,620.12",2025-09-01 12:01:26.625465
5,5,Pick Axe,"$1,170.12",2025-09-01 12:01:26.625465
6,6,Michetti,"$1,500.12",2025-09-01 12:01:26.625465
7,7,Crow-bar,"$1,850.12",2025-09-01 12:01:26.625465
8,8,Titanium base ball bat,"$3,650.12",2025-09-01 12:01:26.625465
9,9,Mace,"$3,650.12",2025-09-01 12:01:26.625465
10,10,Gurkha dagger,"$6,000.12",2025-09-01 12:01:26.625465
11,11,Throwing knife,"$3,600.12",2025-09-01 12:01:26.625465
12,12,Tawma Hawk Axe,"$7,470.12",2025-09-01 12:01:26.625465
13,13,ice Axe,"$8,000.12",2025-09-01 12:01:26.625465
14,14,Military knife,"$9,110.12",2025-09-01 12:01:26.625465
15,15,Axe,"$9,978.12",2025-09-01 12:01:26.625465
15,16,Sledge Hammer,"$1,000.12",2025-09-01 12:01:26.625465
17,17,Showel,"$2,470.12",2025-09-01 12:01:26.625465
18,18,Cross blade Axe,"$7,620.12",2025-09-01 12:01:26.625465
19,19,Pick Axe,"$1,170.12",2025-09-01 12:01:26.625465
20,20,Michetti,"$1,500.12",2025-09-01 12:01:26.625465
21,21,Crow-bar,"$1,850.12",2025-09-01 12:01:26.625465
22,22,Titanium base ball bat,"$3,650.12",2025-09-01 12:01:26.625465
23,23,Mace,"$3,650.12",2025-09-01 12:01:26.625465
24,24,Gurkha dagger,"$6,000.12",2025-09-01 12:01:26.625465
25,25,Throwing knife,"$3,600.12",2025-09-01 12:01:26.625465
26,26,Tawma Hawk Axe,"$7,470.12",2025-09-01 12:01:26.625465
27,27,ice Axe,"$8,000.12",2025-09-01 12:01:26.625465
28,28,Military knife,"$9,110.12",2025-09-01 12:01:26.625465
