order_id,customer_id,order_date,product,category,quantity,order_amount,state
ORD-2000,CUST-1199,2024-04-08,Laptop,Furniture,4,137.78,CA
ORD-2001,CUST-1186,2024-12-30,Chair,Furniture,2,1129.17,TX
ORD-2002,CUST-1146,2024-10-16,Laptop,Electronics,4,568.79,WA
ORD-2003,CUST-1068,2024-06-09,Laptop,Electronics,4,1016.36,OH
ORD-2004,CUST-1148,2024-08-17,Mouse,Furniture,2,1638.01,FL
ORD-2005,CUST-1089,2024-04-30,Keyboard,Furniture,4,1005.13,FL
ORD-2006,CUST-1002,2024-03-14,Laptop,Electronics,5,465.38,TX
ORD-2007,CUST-1050,2024-03-06,Laptop,Electronics,3,774.46,FL
ORD-2008,CUST-1054,2024-05-30,Keyboard,Furniture,3,1717.23,FL
ORD-2009,CUST-1195,2024-02-01,Mouse,Electronics,1,1735.03,WA
ORD-2010,CUST-1046,2024-10-05,Laptop,Furniture,1,1272.7,OH
ORD-2011,CUST-1063,2024-04-10,Laptop,Furniture,4,1179.39,GA
ORD-2012,CUST-1036,2024-10-31,Desk,Electronics,2,709.15,WA
ORD-2013,CUST-1191,2024-05-23,Chair,Electronics,2,375.71,FL
ORD-2014,CUST-1161,2024-02-24,Mouse,Furniture,3,1709.27,WA
ORD-2015,CUST-1070,2024-04-11,Desk,Furniture,2,938.22,OH
ORD-2016,CUST-1114,2024-02-17,Desk,Electronics,2,36.16,NC
ORD-2017,CUST-1171,2024-07-09,Laptop,Furniture,3,1306.26,GA
ORD-2018,CUST-1115,2024-02-05,Keyboard,Furniture,2,712.14,GA
ORD-2019,CUST-1154,2024-08-20,Chair,Furniture,5,279.69,TX
ORD-2020,CUST-1117,2024-07-12,Desk,Furniture,3,1252.87,NY
ORD-2021,CUST-1129,2024-05-25,Chair,Furniture,1,1940.74,TX
ORD-2022,CUST-1023,2024-10-04,Desk,Electronics,1,371.86,FL
ORD-2023,CUST-1128,2024-08-02,Keyboard,Furniture,3,814.55,PA
ORD-2024,CUST-1053,2024-01-04,Mouse,Furniture,2,980.18,WA
ORD-2025,CUST-1166,2024-07-13,Monitor,Electronics,4,1374.2,PA
ORD-2026,CUST-1073,2024-04-29,Laptop,Furniture,2,1528.55,PA
ORD-2027,CUST-1013,2024-06-08,Keyboard,Furniture,2,1805.86,CA
ORD-2028,CUST-1109,2024-05-21,Chair,Electronics,3,618.08,GA
ORD-2029,CUST-1090,2024-09-07,Chair,Electronics,4,1567.76,PA
ORD-2030,CUST-1100,2024-02-26,Chair,Electronics,2,880.16,NY
ORD-2031,CUST-1086,2024-08-05,Laptop,Electronics,3,967.21,NC
ORD-2032,CUST-1111,2024-11-26,Keyboard,Electronics,2,1772.95,TX
ORD-2033,CUST-1100,2024-02-22,Monitor,Electronics,2,951.54,GA
ORD-2034,CUST-1176,2024-09-15,Laptop,Furniture,3,563.79,WA
ORD-2035,CUST-1001,2024-07-29,Mouse,Electronics,1,646.5,NC
ORD-2036,CUST-1127,2024-01-14,Monitor,Furniture,5,674.23,OH
ORD-2037,CUST-1150,2024-10-13,Chair,Electronics,1,369.72,TX
ORD-2038,CUST-1065,2024-09-11,Desk,Electronics,1,586.31,TX
ORD-2039,CUST-1065,2024-12-24,Desk,Furniture,1,141.4,TX
ORD-2040,CUST-1091,2024-01-12,Mouse,Furniture,4,1248.39,GA
ORD-2041,CUST-1183,2024-05-31,Chair,Electronics,2,1742.96,NY
ORD-2042,CUST-1177,2024-01-14,Keyboard,Electronics,2,285.25,NC
ORD-2043,CUST-1195,2024-12-29,Mouse,Electronics,5,168.84,NY
ORD-2044,CUST-1077,2024-08-18,Mouse,Furniture,3,437.36,NC
ORD-2045,CUST-1139,2024-08-29,Keyboard,Electronics,5,1678.31,OH
ORD-2046,CUST-1120,2024-02-07,Keyboard,Furniture,5,1039.63,PA
ORD-2047,CUST-1099,2024-10-01,Desk,Furniture,1,1649.32,TX
ORD-2048,CUST-1131,2024-12-22,Laptop,Furniture,3,1874.73,OH
ORD-2049,CUST-1112,2024-01-13,Desk,Electronics,2,648.85,IL
