sale_id,customer_id,order_id,sale_date,sales_amount,payment_method,state
SALE-3000,CUST-1146,ORD-2101,2024-12-31,4229.47,NetBanking,FL
SALE-3001,CUST-1194,ORD-2199,2024-03-08,4831.2,Credit Card,GA
SALE-3002,CUST-1072,ORD-2091,2024-10-06,4916.31,Debit Card,IL
SALE-3003,CUST-1116,ORD-2175,2024-10-28,2815.02,Debit Card,GA
SALE-3004,CUST-1168,ORD-2008,2024-07-20,2683.15,Debit Card,OH
SALE-3005,CUST-1104,ORD-2054,2024-10-27,2004.22,Debit Card,GA
SALE-3006,CUST-1050,ORD-2145,2024-07-06,2465.67,UPI,FL
SALE-3007,CUST-1042,ORD-2144,2024-03-20,2338.72,NetBanking,CA
SALE-3008,CUST-1069,ORD-2084,2024-11-05,3120.58,UPI,FL
SALE-3009,CUST-1184,ORD-2135,2024-02-10,593.62,Credit Card,IL
SALE-3010,CUST-1041,ORD-2022,2024-05-13,2970.13,Debit Card,IL
SALE-3011,CUST-1118,ORD-2133,2024-05-17,4404.58,UPI,CA
SALE-3012,CUST-1182,ORD-2172,2024-10-25,516.87,Credit Card,WA
SALE-3013,CUST-1056,ORD-2193,2024-04-27,1322.56,Credit Card,WA
SALE-3014,CUST-1013,ORD-2023,2024-04-19,2471.58,Credit Card,WA
SALE-3015,CUST-1106,ORD-2162,2024-03-25,3967.87,Credit Card,IL
SALE-3016,CUST-1134,ORD-2044,2024-04-23,778.2,UPI,CA
SALE-3017,CUST-1090,ORD-2161,2024-06-13,2761.59,Credit Card,IL
SALE-3018,CUST-1090,ORD-2021,2024-08-31,1667.49,UPI,PA
SALE-3019,CUST-1022,ORD-2089,2024-06-10,213.41,NetBanking,OH
SALE-3020,CUST-1179,ORD-2171,2024-06-11,1362.04,Debit Card,IL
SALE-3021,CUST-1145,ORD-2101,2024-03-17,428.19,Debit Card,FL
SALE-3022,CUST-1067,ORD-2125,2024-03-29,2632.31,Credit Card,NY
SALE-3023,CUST-1118,ORD-2087,2024-11-27,3196.23,Debit Card,PA
SALE-3024,CUST-1120,ORD-2068,2024-04-13,1957.46,Debit Card,TX
SALE-3025,CUST-1114,ORD-2147,2024-03-07,3644.3,UPI,IL
SALE-3026,CUST-1038,ORD-2071,2024-10-01,664.33,Credit Card,CA
SALE-3027,CUST-1011,ORD-2152,2024-01-06,4546.78,Credit Card,GA
SALE-3028,CUST-1079,ORD-2092,2024-09-16,3899.27,Credit Card,PA
SALE-3029,CUST-1096,ORD-2079,2024-07-22,3759.71,Debit Card,NC
SALE-3030,CUST-1004,ORD-2195,2024-02-04,4249.36,Debit Card,GA
SALE-3031,CUST-1161,ORD-2056,2024-04-21,4697.55,UPI,NC
SALE-3032,CUST-1070,ORD-2074,2024-03-25,2559.02,NetBanking,CA
SALE-3033,CUST-1131,ORD-2111,2024-11-04,363.05,UPI,OH
SALE-3034,CUST-1113,ORD-2144,2024-09-29,1255.1,UPI,FL
SALE-3035,CUST-1158,ORD-2191,2024-04-15,2404.9,Credit Card,FL
SALE-3036,CUST-1109,ORD-2062,2024-06-08,1087.27,Credit Card,FL
SALE-3037,CUST-1132,ORD-2111,2024-11-11,2575.94,Credit Card,OH
SALE-3038,CUST-1027,ORD-2058,2024-05-01,216.36,Debit Card,NY
SALE-3039,CUST-1194,ORD-2081,2024-02-04,4805.31,Credit Card,OH
SALE-3040,CUST-1104,ORD-2055,2024-10-27,3207.91,Credit Card,OH
SALE-3041,CUST-1176,ORD-2176,2024-01-23,3512.57,NetBanking,OH
SALE-3042,CUST-1161,ORD-2187,2024-03-28,4367.64,NetBanking,FL
SALE-3043,CUST-1121,ORD-2054,2024-11-25,3490.75,NetBanking,GA
SALE-3044,CUST-1130,ORD-2097,2024-01-10,4103.09,NetBanking,NY
SALE-3045,CUST-1073,ORD-2127,2024-12-19,3028.36,NetBanking,WA
SALE-3046,CUST-1189,ORD-2023,2024-03-06,3897.33,NetBanking,OH
SALE-3047,CUST-1155,ORD-2095,2024-10-12,442.36,Debit Card,PA
SALE-3048,CUST-1006,ORD-2162,2024-06-22,947.89,UPI,OH
SALE-3049,CUST-1136,ORD-2053,2024-02-16,3493.87,UPI,FL
