FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,CANCELLED,DISTANCE
1/1/2000,DL,1151,DAY,"Dayton, OH",ATL,"Atlanta, GA",735,732.0,943.0,12.0,922,955.0,0,432
1/1/2000,DL,2087,DAY,"Dayton, OH",ATL,"Atlanta, GA",1255,1257.0,1416.0,7.0,1431,1423.0,0,432
1/1/2000,DL,221,DCA,"Washington, DC",ATL,"Atlanta, GA",1700,1655.0,1834.0,9.0,1900,1843.0,0,547
1/1/2000,DL,485,DCA,"Washington, DC",ATL,"Atlanta, GA",1800,1758.0,1929.0,19.0,1957,1948.0,0,547
1/1/2000,DL,585,DCA,"Washington, DC",ATL,"Atlanta, GA",800,753.0,945.0,7.0,955,952.0,0,547
1/1/2000,DL,657,DCA,"Washington, DC",ATL,"Atlanta, GA",1900,1900.0,2031.0,9.0,2056,2040.0,0,547
1/1/2000,DL,825,DCA,"Washington, DC",ATL,"Atlanta, GA",1600,1554.0,1721.0,12.0,1757,1733.0,0,547
1/1/2000,DL,961,DCA,"Washington, DC",ATL,"Atlanta, GA",1300,1301.0,1435.0,9.0,1500,1444.0,0,547
1/1/2000,DL,1285,DCA,"Washington, DC",ATL,"Atlanta, GA",2000,1955.0,2120.0,5.0,2152,2125.0,0,547
1/1/2000,DL,1441,DCA,"Washington, DC",ATL,"Atlanta, GA",1500,1456.0,1633.0,13.0,1657,1646.0,0,547
1/1/2000,DL,1607,DCA,"Washington, DC",ATL,"Atlanta, GA",2100,2055.0,2223.0,8.0,2255,2231.0,0,547
1/1/2000,DL,1897,DCA,"Washington, DC",ATL,"Atlanta, GA",1100,1057.0,1232.0,11.0,1256,1243.0,0,547
1/1/2000,US,1923,DCA,"Washington, DC",ATL,"Atlanta, GA",1400,1359.0,1531.0,7.0,1547,1538.0,0,547
1/1/2000,DL,244,DEN,"Denver, CO",ATL,"Atlanta, GA",1325,1329.0,1756.0,10.0,1813,1806.0,0,1199
1/1/2000,DL,316,DEN,"Denver, CO",ATL,"Atlanta, GA",1510,1510.0,1936.0,11.0,1958,1947.0,0,1199
1/1/2000,DL,317,DEN,"Denver, CO",ATL,"Atlanta, GA",1115,1122.0,1547.0,15.0,1605,1602.0,0,1199
1/1/2000,DL,320,DEN,"Denver, CO",ATL,"Atlanta, GA",610,603.0,1028.0,7.0,1059,1035.0,0,1199
1/1/2000,DL,432,DEN,"Denver, CO",ATL,"Atlanta, GA",740,740.0,1210.0,12.0,1228,1222.0,0,1199
1/1/2000,DL,664,DEN,"Denver, CO",ATL,"Atlanta, GA",1800,1823.0,2250.0,8.0,2245,2258.0,0,1199
1/1/2000,UA,436,DEN,"Denver, CO",ATL,"Atlanta, GA",1230,1228.0,1651.0,6.0,1710,1657.0,0,1199
1/1/2000,UA,448,DEN,"Denver, CO",ATL,"Atlanta, GA",1529,1555.0,2018.0,12.0,2013,2030.0,0,1199
1/1/2000,UA,1236,DEN,"Denver, CO",ATL,"Atlanta, GA",1002,1001.0,1436.0,7.0,1455,1443.0,0,1199
1/1/2000,UA,1248,DEN,"Denver, CO",ATL,"Atlanta, GA",1910,1910.0,2338.0,8.0,2353,2346.0,0,1199
1/1/2000,AA,1044,DFW,"Dallas/Fort Worth, TX",ATL,"Atlanta, GA",2033,2043.0,2323.0,9.0,2334,2332.0,0,732
1/1/2000,AA,1074,DFW,"Dallas/Fort Worth, TX",ATL,"Atlanta, GA",1418,1410.0,1653.0,7.0,1725,1700.0,0,732
