date|product|quantity|price|region|salesperson
2024-02-20|Monitor|9|397.38|North|Person_3
2024-02-21|Mouse|7|451.18|East|Person_3
2024-02-22|Phone|13|224.42|South|Person_5
2024-02-23|Laptop|9|245.35|North|Person_1
2024-02-24|Keyboard|15|240.5|West|Person_2
2024-02-25|Headphones|5|219.78|North|Person_6
2024-02-26|Phone|15|124.93|West|Person_2
2024-02-27|Phone|12|116.96|South|Person_5
2024-02-28|Phone|6|112.98|West|Person_3
2024-02-29|Mouse|1|352.14|East|Person_8
2024-03-01|Mouse|15|11.3|North|Person_3
2024-03-02|Monitor|15|265.63|North|Person_1
2024-03-03|Headphones|15|130.86|East|Person_8
2024-03-04|Laptop|4|23.04|South|Person_8
2024-03-05|Tablet|8|212.87|North|Person_3
2024-03-06|Keyboard|13|264.49|West|Person_5
2024-03-07|Phone|8|82.76|South|Person_3
2024-03-08|Tablet|8|466.74|East|Person_2
2024-03-09|Phone|7|378.65|South|Person_8
2024-03-10|Mouse|11|20.78|South|Person_7
2024-03-11|Tablet|6|468.93|East|Person_9
2024-03-12|Tablet|1|369.23|South|Person_4
2024-03-13|Tablet|8|388.57|East|Person_2
2024-03-14|Phone|15|269.96|North|Person_8
2024-03-15|Monitor|4|458.12|East|Person_7
