date,product,quantity,price,region,salesperson,_rescued_data,file_name,file_modification_time,ingestion_time
2024-01-01,Mouse,16,null,East,Person_2,"{""price"":""65.09"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-02,Mouse,7,null,North,Person_4,"{""price"":""167.8"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-03,Laptop,2,null,North,Person_6,"{""price"":""373.71"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-04,Phone,3,null,North,Person_7,"{""price"":""280.36"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-05,Mouse,15,null,South,Person_4,"{""price"":""308.34"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-06,Laptop,2,null,East,Person_4,"{""price"":""31.77"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-07,Keyboard,17,null,East,Person_1,"{""price"":""16.44"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-08,Headphones,16,null,South,Person_5,"{""price"":""138.97"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-09,Headphones,5,null,South,Person_9,"{""price"":""45.86"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-10,Headphones,13,null,East,Person_9,"{""price"":""385.59"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-11,Headphones,18,null,North,Person_9,"{""price"":""471.89"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-12,Phone,12,null,West,Person_8,"{""price"":""195.19"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-13,Headphones,15,null,North,Person_8,"{""price"":""181.75"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-14,Headphones,13,null,North,Person_1,"{""price"":""462.26"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-15,Tablet,3,null,East,Person_3,"{""price"":""308.91"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-16,Headphones,16,null,South,Person_6,"{""price"":""127.22"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-17,Mouse,7,null,West,Person_1,"{""price"":""361.24"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-18,Headphones,15,null,West,Person_9,"{""price"":""135.17"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-19,Tablet,3,null,East,Person_3,"{""price"":""39.74"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-20,Monitor,16,null,North,Person_8,"{""price"":""378.52"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
2024-01-21,Tablet,14,null,South,Person_5,"{""price"":""91.17"",""_file_path"":""dbfs:/Volumes/workspace/default/sales_data/sales_data_part_1.csv""}",sales_data_part_1.csv,2025-11-24T11:34:51.000Z,2025-11-24T12:29:22.103Z
