date_unix,temperature_c,humidity_percent,rainfall_mm,region
1674691200,20.3,47.3,25.8,Kolkata
1674777600,21.8,85.3,0.0,Pune
1674864000,34.9,68.1,0.0,Mumbai
1674950400,40.0,75.0,0.0,Guwahati
1675036800,15.4,66.1,0.0,Lucknow
1675123200,10.9,89.6,1.9,Guwahati
1675209600,37.2,31.5,17.2,Chennai
1675296000,33.7,82.3,21.3,Jaipur
1675382400,31.1,59.5,0.0,Bengaluru
1675468800,13.7,56.2,0.0,Bengaluru
1675555200,29.6,54.4,0.0,Kolkata
1675641600,19.3,77.6,4.7,Kolkata
1675728000,16.6,20.5,0.0,Chennai
1675814400,10.2,82.8,9.2,Chennai
1675900800,31.4,81.5,12.7,Delhi
1675987200,38.5,79.4,16.5,Mumbai
1676073600,23.9,35.6,0.0,Mumbai
1676160000,10.8,34.8,12.7,Kolkata
1676246400,22.6,55.6,10.7,Jaipur
1676332800,35.1,88.6,5.0,Delhi
1676419200,22.0,65.7,20.1,Bengaluru
1676505600,43.6,77.9,22.0,Jaipur
1676592000,10.5,92.4,15.4,Mumbai
1676678400,12.3,37.5,3.9,Bengaluru
1676764800,25.7,67.5,7.6,Lucknow
